row_key,label,game,score,run_count
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),air_raid,285.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),assault,115.5,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),beam_rider,189.2,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),boxing,-1.7,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),breakout,3.9,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),demon_attack,47.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),fishing_derby,-8.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),freeway,1.9,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),gopher,16.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),journey_escape,-2610.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),laser_gates,348.5,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),name_this_game,263.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),pacman,12.4,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),phoenix,238.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),qbert,500.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),riverraid,604.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),robotank,1.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),seaquest,62.0,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),tennis,-2.3,10
gemini-3-flash-preview|structured_history|default|high,Gemini 3 Flash (High),time_pilot,210.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),air_raid,300.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),assault,136.5,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),beam_rider,198.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),boxing,-3.1,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),breakout,4.5,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),demon_attack,54.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),fishing_derby,-9.6,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),freeway,2.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),gopher,16.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),journey_escape,-4240.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),laser_gates,546.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),name_this_game,261.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),pacman,7.3,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),phoenix,274.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),qbert,430.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),riverraid,576.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),robotank,1.2,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),seaquest,70.0,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),tennis,-2.7,10
gemini-3-flash-preview|structured_history|default|low,Gemini 3 Flash (Low),time_pilot,170.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),air_raid,270.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),assault,128.1,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),beam_rider,220.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),boxing,-6.2,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),breakout,4.1,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),demon_attack,51.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),fishing_derby,-7.6,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),freeway,1.2,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),gopher,2.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),journey_escape,-3220.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),laser_gates,611.5,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),name_this_game,280.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),pacman,27.8,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),phoenix,252.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),qbert,500.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),riverraid,601.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),robotank,1.6,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),seaquest,66.0,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),tennis,-1.5,10
gemini-3.1-pro-preview|structured_history|default|high,Gemini 3.1 Pro (High),time_pilot,240.0,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),air_raid,297.5,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),assault,130.2,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),beam_rider,224.4,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),boxing,-6.6,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),breakout,5.1,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),demon_attack,54.0,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),fishing_derby,-7.8,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),freeway,1.6,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),gopher,4.0,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),journey_escape,-1630.0,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),laser_gates,510.5,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),name_this_game,234.0,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),pacman,23.6,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),phoenix,386.0,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),qbert,457.5,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),riverraid,618.0,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),robotank,1.9,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),seaquest,66.0,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),tennis,-1.9,10
gemini-3.1-pro-preview|structured_history|default|low,Gemini 3.1 Pro (Low),time_pilot,300.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),air_raid,245.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),assault,170.1,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),beam_rider,184.8,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),boxing,-3.6,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),breakout,3.2,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),demon_attack,41.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),fishing_derby,-11.4,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),freeway,3.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),gopher,54.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),journey_escape,-3110.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),laser_gates,489.5,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),name_this_game,177.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),pacman,22.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),phoenix,198.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),qbert,255.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),riverraid,498.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),robotank,1.6,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),seaquest,58.0,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),tennis,-2.2,10
gemini-2.5-flash|structured_history|off|none,Gemini 2.5 Flash (None),time_pilot,180.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),air_raid,305.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),assault,134.4,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),beam_rider,176.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),boxing,-2.3,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),breakout,5.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),demon_attack,44.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),fishing_derby,-7.111111111111111,9
gpt-5.4|structured_history|default|high,GPT-5.4 (High),freeway,2.4,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),gopher,24.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),journey_escape,-1000.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),laser_gates,662.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),name_this_game,232.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),pacman,27.166666666666668,12
gpt-5.4|structured_history|default|high,GPT-5.4 (High),phoenix,246.0,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),qbert,375.0,8
gpt-5.4|structured_history|default|high,GPT-5.4 (High),riverraid,201.8181818181818,11
gpt-5.4|structured_history|default|high,GPT-5.4 (High),robotank,2.272727272727273,11
gpt-5.4|structured_history|default|high,GPT-5.4 (High),seaquest,50.90909090909091,11
gpt-5.4|structured_history|default|high,GPT-5.4 (High),tennis,-1.4,10
gpt-5.4|structured_history|default|high,GPT-5.4 (High),time_pilot,270.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),air_raid,307.5,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),assault,144.9,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),beam_rider,198.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),boxing,-3.8,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),breakout,5.8,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),demon_attack,47.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),fishing_derby,-10.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),freeway,2.5,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),gopher,4.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),journey_escape,-1600.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),laser_gates,820.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),name_this_game,260.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),pacman,17.9,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),phoenix,236.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),qbert,355.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),riverraid,123.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),robotank,2.1,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),seaquest,46.0,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),tennis,-0.7,10
gpt-5.4|structured_history|default|low,GPT-5.4 (Low),time_pilot,190.0,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),air_raid,292.5,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),assault,102.9,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),beam_rider,198.0,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),boxing,-3.3,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),breakout,3.7,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),demon_attack,43.0,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),fishing_derby,-10.8,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),freeway,3.0,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),gopher,70.0,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),journey_escape,-1880.0,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),laser_gates,591.5,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),name_this_game,179.0909090909091,11
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),pacman,9.7,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),phoenix,261.6666666666667,12
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),qbert,295.8333333333333,6
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),riverraid,671.8181818181819,11
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),robotank,1.6,10
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),seaquest,53.333333333333336,9
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),tennis,-1.6363636363636365,11
gpt-5.4-mini|structured_history|default|high,GPT-5.4 Mini (High),time_pilot,225.0,8
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),air_raid,247.5,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),assault,189.0,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),beam_rider,149.6,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),boxing,-5.7,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),breakout,3.5,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),demon_attack,41.0,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),fishing_derby,-10.2,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),freeway,3.0,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),gopher,36.0,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),journey_escape,-4320.0,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),laser_gates,343.0,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),name_this_game,214.0,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),pacman,13.0,10
gpt-5.4-mini|structured_history|default|low,GPT-5.4 Mini (Low),phoenix,178.0,10
